SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
13567,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle CampusGastroenterology Department,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13568,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle CampusGastroenterology Department,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13569,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle CampusGastroenterology Department,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13570,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle CampusGastroenterology Department,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13571,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle KampusuIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali,Gorukle CampusGastroenterology Department,0.0,16059,16059,1.0,4.0
13572,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle KampusuIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13573,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle KampusuIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13574,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle KampusuIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13575,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle KampusuIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13576,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle KampusuIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13577,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle KampusuIc Hastaliklari Anabilim Dali Gastroenteroloji Bilim Dali,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13578,13578,Trakya University Medical Faculty,Trakya University Medical Faculty,1.0,Edirne,Edirne,1.0,Edirne,Edirne,1.0,Gullapoglu YerleskesiMedical Oncology Department,Gullapoglu YerleskesiMedical Oncology Department,3.0,22020,22020,1.0,7.0
13579,13579,Baskent University Medical Faculty Adana Practice and Research Center,Baskent University Medical Faculty Adana Practice and Research Center,1.0,Adana,Adana,1.0,Istanbul,Istanbul,1.0,Dadaloglu Mah.2591 Sok. No:4/A 01250 Yüreir ADANAMedical Oncology Department,Dadaloglu Mah.2591 Sok. No:4/A 01250 Yüreir ADANAMedical Oncology Department,3.0,2591,2591,1.0,7.0
