SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
18782,CDM,PPD,SHP607-202,1-15NMZTG,,United_States,brody school of medicine at ecu,north carolina,greenville,27834,,3724,600 moye boulevard
18784,CDM,PPD,SHP621-301,301-180,,United_States,carolina digestive diseases,north carolina,greenville,27834,,3726,704 west h smith boulevard
18792,CDM,PPD,TAK-981-1501,58113,,United_States,east carolina university,north carolina,greenville,27834,,3734,4e59a brody building
18794,CDM,PPD,C16014,1-F1KPZ,,United_States,east carolina university,north carolina,greenville,27834,,3736,600 moyer boulevard
18802,CDM,PPD,Pevonedistat-2001,1-D902A8,,United_States,eastern institute of medical sciences,north carolina,greenville,27834,,3744,2080 west arlington boulevardsuite b
18804,CDM,PPD,SHP647-305,1-ZVCYHM,,United_States,gastroenterology east pa,south carolina,greenville,27834,,3746,2210 hemby lanesuite b
18808,CDM,PPD,SHP-607-201,024,,United_States,vidant medical center,north carolina,greenville,27834,,3750,600 moye boulevarddepartment of pediatricsroom 2nn2006
18809,CDM,PPD,SHP607-202,006,,United_States,vidant medical center,north carolina,greenville,278342818,,3751,2100 stantonsburg road
18811,CDM,PPD,SHP607-203,1-HBIAK57,,United_States,vidant medical center,north carolina,greenville,278344300,,3753,600 moye blvd dept of
18812,CDM,IQVIA,SHP655-201,513,1-4SFDZJ1,United_States,east carolina school of medicine,greenville,north carolina,27858,,3754,600 moye blvdlife sciences building
18813,CDM,IQVIA,261203,153,1-2H1RLT7,United_States,east carolina university,greenville,north carolina,27858,,3755,2200 south charles blvd2906 greenville centre
18815,CDM,PPD,SHP647-301,1-ZUUUL4,,United_States,wilson digestive diseases center,north carolina,wilson,27893,,3757,2402 camden street swsuite 300
18817,CDM,PPD,SHP647-301,1-205DFRN,,United_States,carolina gastroenterology specialists pllc,north carolina,wilson,27896,,3759,3520 airport blvdsuite f
18824,CDM,PPD,MLN0002-3025,3025-58007,,United_States,atrium health,north carolina,concord,28025,,3766,200 medical park drivecarolinas medical center north east
18825,CDM,PRA,TAK-906-2002,58029,1-1K2BX0F,United_States,carolina digestive health associates,nc,concord,28025,,3767,1085 northeast gateway courtsuite 280
18826,CDM,PRA,C31004,58021A,1-1F12I1L,United_States,levine cancer institute  concord,nc,concord,28025,,3768,100 medical park drive
18827,CDM,IQVIA,TAK-994-0001,58037,1-53KKIE2,United_States,research carolina elite llc,denver,north carolina,28037,,3769,7480 waterside loop roadsuite 201
18829,CDM,IQVIA,TAK-994-1501,58015,1-4QAIBLL,United_States,clinical research of gastonia,gastonia,north carolina,28054,,3771,1010 x ray drive
18830,CDM,PPD,C16029,1-YQMPJE,,United_States,gaston hematology and oncology,north carolina,gastonia,28054,,3772,2610 aberdeen boulevard
18834,CDM,PPD,SHP647-303,1-240DA8A,,United_States,the carolina clinic for digestive  liver disease,north carolina,gastonia,28054,,3776,1040b xray drivecaromont health
18841,CDM,PPD,SHP647-301,1-109774B,,United_States,charlotte gastroenterology and hepatology pllc,north carolina,huntersville,28078,,3783,13808 professional center drive
18843,CDM,PPD,SHP647-303,1-2401XKF,,United_States,charlotte gastroenterology and hepatology pllc,north carolina,matthews,28105,,3785,1340 matthews township parkwaysuite 301
18850,CDM,PPD,SHP647-305,1-ZWXGI4,,United_States,carolina digestive health associates,north carolina,monroe,28112,,3792,1663 campus park drivesuite d
18852,CDM,PPD,SHP647-304,1-24IZFU9,,United_States,carolina digestive health associates,north carolina,charlotte,28117,,3794,131 medical park road1st floor
18859,CDM,PRA,TAK-906-2002,58023,1-1JYIJRZ,United_States,pmg research of salisbury,nc,salisbury,28144,,3801,410 mocksville avenue
18860,CDM,PPD,SHP647-305,1-XE272W,,United_States,pmg research of salisbury llc,north carolina,salisbury,28144,,3802,410 mocksville avenue
18862,CDM,PPD,SHP647-304,1-1ADCIGD,,United_States,wg bill hefner va medical center  navref  ppds,north carolina,salisbury,28144,,3804,1601 brenner avenue
18869,CDM,PPD,SHP647-301,1-205DFQM,,United_States,cleveland gastro associates pa,north carolina,shelby,28150,,3811,808 north washington street
18876,CDM,PPD,C16014,1-AHPB0,,United_States,blumenthal cancer center,north carolina,charlotte,28203,,3818,1000 blythe boulevardsuite 300
18878,CDM,PPD,SHP647-301,1-ZH2G0Q,,United_States,carolina digestive health associates,north carolina,charlotte,28203,,3820,8220 university executive park drivesuite 205
18880,CDM,IQVIA,161406,161406-119,1-1VRD8L0,United_States,carolinas healthcare system,charlotte,north carolina,28203,,3822,1000 blythe boulevardorthopaedic surgery
18884,CDM,PPD,SHP647-301,1-ZK0NW6,,United_States,charlotte medical clinic,north carolina,charlotte,28203,,3826,1001 blythe boulevardsuite 125
18887,CDM,PPD,SHP620-303,1-XN1XBE,,United_States,levine childrens hospital,north carolina,charlotte,28203,,3829,1000 blythe boulevardsuite 800
18892,CDM,PRA,AP32788-15-101,266,1-1K3BRJC,United_States,carolinas healthcare system,nc,charlotte,282034297,,3834,1000 blythe boulevard
18894,CDM,PPD,MLN0002-3024,3024-58007,,United_States,atrium health,north carolina,charlotte,28204,,3836,1000 blythe blvdatrium health cannon research center
18895,CDM,PPD,C16029,1-Y4IFBE,,United_States,carolinas healthcare system,north carolina,charlotte,28204,,3837,1021 morehead medical drive
18896,CDM,PPD,Pevonedistat-2001,1-D901ZJ,,United_States,levine cancer center,north carolina,charlotte,28204,,3838,1021 morehead medical drivedepartment of hematologic oncology and blood disorders
18898,CDM,IQVIA,SHP655-101,117,1-4NK39QD,United_States,levine cancer institute,charlotte,north carolina,28204,,3840,1021 morehead medical drivesuite 60100lci building ii
18900,CDM,PRA,C31004,58021,1-1C6PL94,United_States,levine cancer institute,nc,charlotte,28204,,3842,1021 morehead medical drive
18902,CDM,ICON,C25003,,278682,United_States,levine cancer institute,north carolina,charlotte,28204,,3844,1021 morehead medical drive
18904,CDM,PPD,TAK-788-3001,1-4ZOLPJN,,United_States,levine cancer institute  charlotte,north carolina,charlotte,28204,,3846,1021 morehead medical drivedepartment of hematologysuite 5300
